z T N2 O2 Ar HO2 HO NO2 NO ClO Cl CFC12
38.0 249.1 8.0240E+16 2.1530E+16 9.5980E+14 1.5270E+07 1.5459E+07 9.4634E+08 1.9957E+09 1.1551E+08 6.1192E+05 3.6578E+06
38.5 251.1 7.4420E+16 1.9960E+16 8.9010E+14 1.5148E+07 1.6249E+07 8.5048E+08 1.9753E+09 1.0798E+08 6.6693E+05 2.8520E+06
39.0 253.1 6.9050E+16 1.8520E+16 8.2600E+14 1.5065E+07 1.7045E+07 7.5723E+08 1.9438E+09 1.0038E+08 7.2511E+05 2.2059E+06
39.5 255.1 6.4120E+16 1.7200E+16 7.6700E+14 1.5010E+07 1.7839E+07 6.6787E+08 1.9017E+09 9.2805E+07 7.8623E+05 1.6920E+06
40.0 257.0 5.9580E+16 1.5980E+16 7.1270E+14 1.4970E+07 1.8623E+07 5.8349E+08 1.8494E+09 8.5338E+07 8.4996E+05 1.2867E+06
40.5 258.9 5.5410E+16 1.4860E+16 6.6280E+14 1.4932E+07 1.9386E+07 5.0492E+08 1.7877E+09 7.8057E+07 9.1588E+05 9.6994E+05
41.0 260.7 5.1570E+16 1.3830E+16 6.1680E+14 1.4880E+07 2.0115E+07 4.3279E+08 1.7177E+09 7.1027E+07 9.8340E+05 7.2455E+05
41.5 262.4 4.8030E+16 1.2890E+16 5.7450E+14 1.4797E+07 2.0794E+07 3.6745E+08 1.6406E+09 6.4305E+07 1.0518E+06 5.3621E+05
42.0 264.0 4.4780E+16 1.2010E+16 5.3560E+14 1.4665E+07 2.1408E+07 3.0904E+08 1.5577E+09 5.7932E+07 1.1203E+06 3.9304E+05
42.5 265.5 4.1780E+16 1.1210E+16 4.9980E+14 1.4468E+07 2.1938E+07 2.5750E+08 1.4704E+09 5.1943E+07 1.1879E+06 2.8527E+05
43.0 266.8 3.9030E+16 1.0470E+16 4.6680E+14 1.4192E+07 2.2368E+07 2.1259E+08 1.3801E+09 4.6359E+07 1.2535E+06 2.0497E+05
43.5 268.0 3.6480E+16 9.7880E+15 4.3640E+14 1.3830E+07 2.2680E+07 1.7395E+08 1.2884E+09 4.1193E+07 1.3158E+06 1.4574E+05
44.0 269.0 3.4140E+16 9.1600E+15 4.0840E+14 1.3376E+07 2.2861E+07 1.4109E+08 1.1966E+09 3.6447E+07 1.3736E+06 1.0253E+05
44.5 269.7 3.1980E+16 8.5800E+15 3.8260E+14 1.2835E+07 2.2898E+07 1.1347E+08 1.1059E+09 3.2119E+07 1.4254E+06 7.1346E+04
45.0 270.2 2.9990E+16 8.0460E+15 3.5870E+14 1.2220E+07 2.2787E+07 9.0522E+07 1.0176E+09 2.8196E+07 1.4699E+06 4.9091E+04
45.5 270.5 2.8150E+16 7.5530E+15 3.3670E+14 1.1551E+07 2.2526E+07 7.1657E+07 9.3248E+08 2.4663E+07 1.5056E+06 3.3390E+04
46.0 270.6 2.6450E+16 7.0960E+15 3.1640E+14 1.0854E+07 2.2122E+07 5.6312E+07 8.5148E+08 2.1501E+07 1.5313E+06 2.2444E+04
46.5 270.4 2.4870E+16 6.6720E+15 2.9750E+14 1.0162E+07 2.1591E+07 4.3952E+07 7.7518E+08 1.8685E+07 1.5457E+06 1.4905E+04
47.0 270.0 2.3400E+16 6.2790E+15 2.7990E+14 9.5109E+06 2.0954E+07 3.4091E+07 7.0405E+08 1.6192E+07 1.5479E+06 9.7763E+03
47.5 269.4 2.2040E+16 5.9120E+15 2.6360E+14 8.9407E+06 2.0241E+07 2.6294E+07 6.3837E+08 1.3996E+07 1.5371E+06 6.3313E+03
48.0 268.7 2.0760E+16 5.5690E+15 2.4830E+14 8.4939E+06 1.9487E+07 2.0180E+07 5.7829E+08 1.2070E+07 1.5129E+06 4.0472E+03
48.5 267.8 1.9560E+16 5.2480E+15 2.3400E+14 8.2204E+06 1.8734E+07 1.5422E+07 5.2381E+08 1.0388E+07 1.4753E+06 2.5529E+03
49.0 266.7 1.8440E+16 4.9480E+15 2.2060E+14 8.1863E+06 1.8028E+07 1.1745E+07 4.7486E+08 8.9257E+06 1.4246E+06 1.5885E+03
49.5 265.5 1.7390E+16 4.6650E+15 2.0800E+14 8.4936E+06 1.7420E+07 8.9223E+06 4.3126E+08 7.6588E+06 1.3616E+06 9.7473E+02
50.0 264.3 1.6400E+16 4.4000E+15 1.9620E+14 9.3211E+06 1.6968E+07 6.7667E+06 3.9280E+08 6.5649E+06 1.2875E+06 5.8964E+02


